United States,Internet software & services,258
United States,Fintech,198
United States,Health,117
China,E-commerce & direct-to-consumer,90
United States,Artificial intelligence,87
United States,Other,84
United States,E-commerce & direct-to-consumer,75
United States,Cybersecurity,63
United States,Data management & analytics,60
China,Artificial intelligence,48
China,Hardware,45
China,Auto & transportation,45
United Kingdom,Fintech,45
United States,"Supply chain, logistics, & delivery",42
China,Mobile & telecommunications,42
China,Edtech,36
China,Internet software & services,33
United States,Mobile & telecommunications,33
United States,Consumer & retail,33
India,Fintech,27
China,"Supply chain, logistics, & delivery",27
China,Health,24
United States,Edtech,24
United States,Hardware,24
China,Fintech,21
India,E-commerce & direct-to-consumer,21
United States,Auto & transportation,21
China,Consumer & retail,18
Israel,Cybersecurity,15
Germany,Fintech,15
India,Internet software & services,15
Israel,Artificial intelligence,12
United Kingdom,Artificial intelligence,12
France,E-commerce & direct-to-consumer,12
Brazil,E-commerce & direct-to-consumer,12
China,Other,12
Brazil,Fintech,12
India,"Supply chain, logistics, & delivery",12
Canada,Internet software & services,9
Canada,Artificial intelligence,9
United Kingdom,Other,9
France,Other,9
United States,Travel,9
China,Travel,9
Hong Kong,Fintech,6
Germany,"Supply chain, logistics, & delivery",6
Netherlands,Fintech,6
Ireland,Internet software & services,6
Singapore,E-commerce & direct-to-consumer,6
Mexico,Fintech,6
Japan,Other,6
France,Internet software & services,6
France,Artificial intelligence,6
Australia,Internet software & services,6
Canada,Fintech,6
Japan,Fintech,6
India,Other,6
Israel,Health,6
Australia,Fintech,6
India,Edtech,6
United Kingdom,E-commerce & direct-to-consumer,6
Germany,Other,6
United Arab Emirates,Other,6
South Korea,E-commerce & direct-to-consumer,6
United Kingdom,Health,6
India,Auto & transportation,6
Brazil,"Supply chain, logistics, & delivery",6
Germany,Travel,6
South Korea,Other,6
China,Data management & analytics,6
Turkey,Mobile & telecommunications,3
China,Artificial Intelligence,3
Austria,Edtech,3
Israel,Edtech,3
Israel,"Supply chain, logistics, & delivery",3
Israel,Hardware,3
France,Hardware,3
Canada,E-commerce & direct-to-consumer,3
Ireland,Health,3
Canada,Cybersecurity,3
Norway,Data management & analytics,3
Sweden,Health,3
France,Fintech,3
Indonesia,"Supply chain, logistics, & delivery",3
Turkey,E-commerce & direct-to-consumer,3
Germany,E-commerce & direct-to-consumer,3
Canada,Travel,3
Singapore,Internet software & services,3
Austria,Fintech,3
Sweden,Internet software & services,3
Israel,Fintech,3
Switzerland,Data management & analytics,3
Thailand,"Supply chain, logistics, & delivery",3
Israel,Internet software & services,3
Germany,Internet software & services,3
United Kingdom,Internet software & services,3
United Kingdom,"Supply chain, logistics, & delivery",3
South Korea,Auto & transportation,3
Netherlands,Mobile & telecommunications,3
Mexico,E-commerce & direct-to-consumer,3
Croatia,Mobile & telecommunications,3
Singapore,Mobile & telecommunications,3
Canada,Edtech,3
United Kingdom,Cybersecurity,3
Spain,"Supply chain, logistics, & delivery",3
Brazil,Other,3
Lithuania,E-commerce & direct-to-consumer,3
Switzerland,Cybersecurity,3
Switzerland,Fintech,3
Japan,Mobile & telecommunications,3
Singapore,Artificial intelligence,3
Germany,Auto & transportation,3
Sweden,Other,3
South Korea,Travel,3
South Korea,Health,3
China,Cybersecurity,3
France,Health,3
Indonesia,Fintech,3
Luxembourg,Other,3
Hong Kong,"Supply chain, logistics, & delivery",3
Belgium,Data management & analytics,3
South Korea,Fintech,3
Netherlands,Hardware,3
India,Travel,3
Colombia,"Supply chain, logistics, & delivery",3
Hong Kong,Travel,3
Brazil,Mobile & telecommunications,3
Switzerland,Internet software & services,3
Germany,Data management & analytics,3
Estonia,Auto & transportation,3
Finland,Mobile & telecommunications,3
Japan,Artificial intelligence,3
Spain,Auto & transportation,3
Indonesia,E-commerce & direct-to-consumer,3
Philippines,Other,3
South Africa,Mobile & telecommunications,3
Germany,Health,3
Bermuda,Artificial intelligence,3
United Kingdom,Consumer & retail,3
Indonesia,Travel,3
United Kingdom,Hardware,3
South Africa,Consumer & retail,3
Israel,Auto & transportation,3
Switzerland,Health,3
South Korea,Consumer & retail,3
France,Auto & transportation,3
Colombia,Other,3
Singapore,Auto & transportation,3
India,Mobile & telecommunications,3
South Korea,Mobile & telecommunications,3
Israel,Mobile & telecommunications,3
Hong Kong,Consumer & retail,3
Sweden,Fintech,3
